Świętego;Św.
Świętej;Św.
św.;Św.
Błogosławionego;Bł.
Błogosławionej;Bł.
bł.;Bł.
Gen;Generała
Marsz.;Marszałka
Kard.;Kardynała
Ks.;Księdza
X.;Księdza
Księdza Bpa;Biskupa
Księdza Biskupa;Biskupa
Dr;Doktora
Inż;Inżyniera
Prof;Profesora
Bulw.;Bulwar
Wyb.;Wybrzeże
Pil.;Pilota
Het.;Hetmana
Mjr;Majora
kpt. ż.w.;Kapitana Żeglugi Wielkiej
kpt. ż. w.;Kapitana Żeglugi Wielkiej
kpt;Kapitana
Podpułkownika;
p. por.;
p.por.;
ppłk;
płk;
rtm;
kadm;
kontradmirała;
kmdr;
komandora;
prez.;Prezydenta
króla;
abp;
arcybiskupa;
Sierpnia 1980;Sierpnia '80
Sierpnia 80;Sierpnia '80
Czerwca 1976;Czerwca '76
Czerwca 76;Czerwca '76
Iii;III
Xxv;XXV
AWP;Armii Wojska Polskiego
O. Beyzyma;Ojca Beyzyma
O. Widucha;Ojca Widucha
O. Justyna Widucha;Ojca Widucha
 - Deptak;-Deptak
Rynek Ratusz;Ratusz
Frycza Modrzewskiego;Frycza-Modrzewskiego
Zgrupowania "AK Kampinos";Zgrupowania AK "Kampinos"
Ks. Abp Jana Pawła Woronicza;Woronicza
Generała Stanisława Maczka (1892 - 1994);Generała Maczka
Łazarski;rynek Łazarski
Wildecki;rynek Wildecki
Grota Roweckiego;Grota-Roweckiego
Krzysztofa-Kamila Baczyńskiego;Krzysztofa Baczyńskiego
Georga;George'a
Stefana Kiesielewskiego Kisiela;Kisielewskiego "Kisiela"
Orlicza-Dreszera;Orlicz-Dreszera
Kamieńskiego Huzar;Kamieńskiego "Huzar"
im. Księdza Emila Szramka;plac Księdza Szramka
M.C.Skłodowskiej;Skłodowskiej-Curie
M. C. Skłodowskiej;Skłodowskiej-Curie
Curie Skłodowskiej;Skłodowskiej-Curie
Curie-Skłodowskiej;Skłodowskiej-Curie
Skłodowskiej Curie;Skłodowskiej-Curie
Bł. Edmunda Bojanowskiego;Edmunda Bojanowskiego
Hubala Henryka Dobrzańskiego;Henryka "Hubala" Dobrzańskiego
Henryk Sienkiewicza;Henryka Sienkiewicza
Pionierów Lub;Pionierów Lubuskich
Kurpińśkiego;Kurpińskiego
K.I. Gałczyńskiego;Gałczyńskiego
Księcia Janusza I-bloki;Księcia Janusza I
55.Pułku Piechoty;55. Pułku Piechoty
Boya Żeleńskiego;Boya-Żeleńskiego
1905 r;1905 roku
1905r;1905 roku
1920 r;1920 roku
1920r;1920 roku
1939r;1939 roku
1939 r;1939 roku
o. Huberta Czumy;Ojca Huberta Czumy
19-Lutego;19 Lutego
Benjamina;Beniamina
Wktora;Wiktora
Charles'a;Charlesa
Alferda;Alfreda
Rodolfa;Rudolfa
30-Lecia;30-Lecia
40-Lecia;40-lecia
Herlinga Grudzińskiego;Herlinga-Grudzińskiego
Berka-Joselewicza;Berka Joselewicza